Producto
"'BLUSON TENCEL', 'Ref: PF51110936', '$ 99.900', 'AZUL OSCURO', 'XS', 'S', 'M', 'L', 'XL', 'Blusón en denim fondo entero, escote redondo, manga sisa, abertura en costados inferior.'"
"'CAMISETA ALOHA', 'Ref: PF51120568', '$ 39.900', 'ROSADO PALO DE ROSA', 'XS', 'S', 'M', 'L', 'XL', 'Camiseta en tejido de punto fondo entero, cuello redondo, manga corta, estampado localizado en frente.'"
"'CAMISETA AURA', 'Ref: PF51120560', '$ 34.900', 'BEIGE CLARO', 'NEGRO', 'ROJO PERSA', 'VERDE PASTO', 'XS', 'S', 'M', 'L', 'XL', 'Camiseta en tejido de punto fondo entero, cuello redondo, manga corta rodada.'"
"'CAMISETA KEEP GOING', 'Ref: PF51120461', '$ 29.900', 'BLANCO', 'XS', 'S', 'M', 'L', 'XL', 'Camiseta en tejido de punto, cuello redondo, manga corta, con estampado tipografico localizado.'"
"'CAMISETA MARINERA', 'Ref: PF51120546', '$ 34.900', 'NEGRO', 'XS', 'S', 'M', 'L', 'XL', 'Camiseta de rayas en tejido de punto, cuello redondo, manga corta.'"
"'PANTALON MERCURY', 'Ref: PF51310081', '$ 99.900', 'AZUL OSCURO', '6', '8', '10', '12', '14', 'Pantalón en denim liviano fondo entero, elástico en pretina con tira frontal para anudar, bolsillos adelante y ribetes en posterior, elástico en ruedo de bota, bota recta.'"
"'SHORT AMALIA', 'Ref: PF51340041', '$ 79.900', 'AZUL OSCURO', '6', '8', '10', '12', 'Short en denim fondo entero, recogido en pretina con tira para anudar, bolsillos en delantero y ribetes en posterior.'"
"'VESTIDO BELLE', 'Ref: PF11511025', '$ 89.900', 'NEGRO', 'ROSADO SALMON', 'XS', 'S', 'M', 'L', 'XL', 'Vestido en chalís fondo entero, lago midi, escote en v, abertura lateral, silueta amplia.'"
"'VESTIDO HALTER RAYAS', 'Ref: PF11511021', '$ 109.900', 'NEGRO', 'XS', 'S', 'M', 'L', 'XL', 'Vestido largo en chalis estampado rayas, escote halter con abertura en espalda y tira para anudar, bolero en ruedo.'"
"'CAMISETA CONFIDENCE', 'Ref: PF51120583', '$ 34.900', 'BLANCO', 'XS', 'S', 'M', 'L', 'XL', 'Camiseta en tejido de punto fondo entero con estampado localizado en frente, cuello redondo, manga corta.'"
"'BLUSA BALI POPELIN', 'Ref: PF11112229', '$ 59.900', 'BLANCO', 'LILA', 'XS', 'S', 'M', 'L', 'Blusa en popelina licrada fondo entero, escote corazón con recogido en centro frente, fajón en cintura, resortado en espalda, manga corta con elástico en hombro y puños, silueta ajustada.'"
"'BLUSA ATENAS', 'Ref: PF51110938', '$ 59.900', 'AZUL OSCURO', 'XS', 'S', 'M', 'L', 'Blusa de tiras en denim, tono oscuro, escote en V con  recogido, bolero decorativo en ruedo.'"
"'BODY WAIPIO', 'Ref: PF13120500', '$ 49.900', 'BLANCO CRUDO', 'NEGRO', 'ROSADO', 'VERDE MENTA', 'XS', 'S', 'M', 'L', 'XL', 'Body en tejido de punto fondo entero, tira pitillo, escote redondo, silueta ajustada.'"
